ts,hr,spo2,temp,red,ir,green,battery
1761033532653,91,97,36.17,468,525,861,75
1761033532672,80,96,36.51,605,563,579,60
1761033532693,89,97,37.18,792,745,634,92
1761033532713,62,100,36.93,315,369,493,86
1761033532733,68,99,36.73,749,965,393,99
1761033532753,61,99,36.44,750,487,838,91
1761033532773,77,99,36.18,795,670,771,70
1761033532792,91,97,36.94,924,270,445,60
1761033532813,79,97,36.31,565,784,378,70
1761033532834,80,100,36.26,951,232,699,79
1761033532853,75,98,36.42,885,934,160,51
1761033532873,77,97,37.2,98,149,679,79
1761033532893,80,95,36.55,643,239,867,72
1761033532913,97,98,36.06,599,184,772,82
1761033532933,81,99,36.57,463,269,178,78
1761033532953,82,98,36.38,210,13,793,93
1761033532972,75,95,36.56,36,269,586,59
1761033532993,92,97,37.15,442,662,50,53
1761033533013,65,100,36.56,112,435,110,97
1761033533033,71,96,36.66,418,251,662,94
1761033533054,87,98,36.8,273,372,356,99
1761033533073,68,96,36.91,334,22,61,98
1761033533093,76,95,36.2,193,404,712,80
1761033533112,82,96,36.68,330,216,105,56
1761033533133,72,97,36.15,747,334,355,50
1761033533154,91,99,36.06,683,378,952,88
1761033533173,76,97,36.26,701,67,182,51
1761033533192,61,98,37.14,926,500,52,67
1761033533213,68,95,36.25,10,504,572,68
1761033533233,74,97,36.99,646,188,897,96
1761033533253,72,97,36.57,556,667,639,71
1761033533273,95,98,36.7,422,301,718,78
1761033533293,92,96,36.19,248,751,249,94
1761033533313,74,100,36.28,100,899,243,73
1761033533333,66,98,37.01,805,177,338,52
1761033533353,64,98,36.68,264,71,909,51
1761033533373,66,97,37.03,841,515,765,81
1761033533392,75,97,36.41,504,101,762,77
1761033533413,79,98,36.78,892,235,224,76
1761033533433,63,96,36.89,61,322,461,97
1761033533453,93,98,36.85,769,861,148,76
1761033533473,72,98,36.47,491,808,70,98
1761033533493,93,98,37.06,83,26,911,74
1761033533513,61,97,36.42,522,758,681,86
1761033533533,73,98,37.12,559,623,144,58
1761033533553,62,98,36.79,176,495,249,75
1761033533573,74,97,36.51,524,665,8,58
1761033533593,76,95,37.16,784,678,938,56
1761033533613,86,100,36.24,10,562,849,81
1761033533633,93,97,36.41,177,248,774,91
1761033533653,70,95,36.5,655,217,647,57
1761033533673,80,97,36.9,673,549,794,53
1761033533693,87,100,36.84,912,732,170,62
1761033533712,94,96,36.89,165,385,423,77
1761033533733,93,97,37.13,743,936,826,89
1761033533753,71,97,36.46,481,485,214,88
1761033533772,96,96,36.32,405,655,892,60
1761033533793,65,97,37.08,884,994,809,85
1761033533813,66,96,36.23,833,895,23,73
1761033533833,76,99,36.35,594,369,259,73
1761033533853,89,96,36.99,942,876,550,61
1761033533873,66,97,36.35,570,703,682,96
1761033533893,94,97,37.01,490,626,109,92
1761033533913,85,97,36.54,488,411,352,70
1761033533933,61,98,36.3,401,603,87,89
1761033533953,84,99,36.57,194,897,811,93
1761033533973,87,100,37.14,501,164,133,62
1761033533993,80,98,36.86,570,28,622,77
1761033534013,64,100,36.31,861,527,540,62
1761033534034,73,96,36.72,998,478,917,69
1761033534053,96,96,36.79,537,264,829,92
1761033534073,66,95,36.04,302,473,480,53
1761033534093,74,96,36.84,574,788,181,98
1761033534113,72,97,36.86,403,775,568,90
1761033534133,70,96,36.56,703,136,920,65
1761033534153,65,98,36.6,947,583,904,88
1761033534173,77,97,36.46,587,106,840,53
1761033534193,84,97,37.18,638,175,363,81
1761033534213,81,99,36.65,429,80,506,61
1761033534233,61,95,36.4,288,309,839,51
1761033534253,97,97,36.26,735,65,483,66
1761033534273,66,96,37,989,490,847,54
1761033534293,73,99,36.05,585,790,160,77
1761033534313,76,96,36.33,797,394,571,56
1761033534332,91,95,37.06,411,854,751,69
1761033534353,85,100,36.02,550,114,649,82
1761033534374,74,99,36.46,734,720,7,59
1761033534393,100,95,37.08,378,583,157,93
1761033534413,94,96,36.13,949,942,584,56
1761033534433,66,97,36.31,859,685,9,81
1761033534453,74,96,36.77,276,631,660,67
1761033534472,81,95,36.97,470,481,781,85
1761033534493,76,96,36.52,864,816,70,97
1761033534514,84,98,37.18,127,567,23,81
1761033534532,67,98,36.92,649,506,260,94
1761033534553,61,97,37.01,162,86,682,76
1761033534574,65,100,36.53,624,609,611,88
1761033534593,73,97,36.74,258,449,673,73
1761033534613,75,97,36.16,797,823,356,62
1761033534633,97,100,36.31,422,323,267,71
1761033534653,63,96,36.92,308,711,568,93
1761033534673,64,96,37.1,747,933,525,66
1761033534693,100,95,36.19,896,302,90,100
1761033534713,70,98,36.05,21,729,322,99
1761033534733,77,96,36.1,405,360,64,93
1761033534754,62,97,36.13,676,399,803,89
1761033534773,92,99,36.41,938,81,770,61
1761033534793,84,96,36.22,184,843,109,97
1761033534813,93,99,36.04,290,448,985,53
1761033534833,79,95,36.67,832,391,39,60
1761033534852,69,95,36.58,644,976,335,56
1761033534872,81,99,36.87,523,288,622,74
1761033534893,66,97,37.07,688,663,713,87
1761033534914,97,97,36.41,867,607,993,64
1761033534933,87,98,36.6,346,774,646,55
1761033534953,74,100,36.88,246,957,128,89
1761033534973,75,97,36.03,216,244,451,79
1761033534992,65,96,36.93,218,617,247,65
1761033535013,83,99,36.01,92,4,939,68
1761033535033,65,97,36.38,278,609,433,84
1761033535054,94,99,36.97,740,126,728,52
1761033535072,95,95,36.46,714,944,226,96
1761033535093,63,95,36.69,134,27,18,65
1761033535113,76,96,36.34,460,100,934,80
1761033535133,69,99,36.38,160,374,896,97
1761033535153,77,98,36.87,767,31,938,89
1761033535172,62,98,36.32,726,484,476,51
1761033535193,81,98,36.71,323,781,304,90
1761033535213,69,96,36.96,450,920,214,83
1761033535233,67,97,36.89,53,847,755,51
1761033535253,87,97,36.82,507,145,454,85
1761033535272,96,96,36.33,576,44,831,55
1761033535293,68,96,36.16,179,674,411,72
1761033535313,75,96,36.09,571,79,501,80
1761033535333,82,100,36.12,408,590,498,63
1761033535353,63,98,37.17,220,899,879,91
1761033535372,75,97,36.79,321,102,501,81
1761033535392,88,96,36.85,945,385,663,56
1761033535413,74,96,36.12,643,194,610,75
1761033535433,84,97,36.65,894,582,403,95
1761033535453,62,98,36.57,1,507,125,53
1761033535473,74,95,36.4,92,725,124,99
1761033535493,67,99,36.74,779,455,885,71
1761033535513,97,100,37.1,66,29,711,61
1761033535533,79,99,36.7,584,199,222,52
1761033535553,69,95,36.75,710,947,702,92
1761033535573,89,95,36.74,745,804,315,75
1761033535593,67,98,36.92,388,731,120,97
1761033535613,64,96,36.83,49,177,312,65
1761033535633,87,95,36.24,443,760,314,75
1761033535653,89,99,36.78,60,2,853,77
1761033535673,92,99,36.89,994,16,702,89
1761033535693,94,100,36.88,114,537,139,92
1761033535713,72,95,36.81,689,222,160,71
1761033535733,78,99,36.17,120,769,86,69
1761033535753,77,95,36.76,987,406,474,53
1761033535773,65,100,36.2,419,959,22,57
1761033535793,82,97,36.17,983,802,249,84
1761033535813,79,96,36.58,840,931,8,86
1761033535832,98,95,37.08,486,414,497,70
1761033535853,92,98,36.22,528,668,681,91
1761033535873,64,96,36.19,192,998,502,57
1761033535893,65,100,36.47,790,451,457,72
1761033535913,99,97,36.73,917,988,128,95
1761033535933,62,99,36.94,101,30,525,93
1761033535953,93,95,36.7,912,31,339,79
1761033535973,64,96,36.48,411,490,918,78
1761033535993,78,99,37.18,29,475,580,73
1761033536014,98,97,36.84,809,573,822,60
1761033536033,96,99,36.77,658,520,566,89
1761033536053,69,100,36.81,776,969,79,84
1761033536073,88,96,36.44,586,294,603,72
1761033536093,90,98,36.61,21,43,66,76
1761033536113,92,100,36.73,745,422,150,95
1761033536133,94,95,36.4,303,500,983,79
1761033536153,66,99,36.83,501,481,109,97
1761033536173,65,95,36.95,294,465,114,54
1761033536193,62,100,37.11,981,409,654,61
1761033536213,94,99,36.56,49,616,956,96
1761033536233,84,98,36.5,944,78,218,75
1761033536253,100,96,36.52,903,500,724,70
1761033536272,68,99,36.29,75,929,367,64
1761033536293,63,98,36.33,484,794,908,64
1761033536313,82,98,37.17,901,981,615,56
1761033536333,80,97,36.88,151,965,501,68
1761033536353,93,99,36.62,215,869,386,62
1761033536373,90,98,36.54,211,89,805,85
1761033536393,85,98,36.97,196,388,251,55
1761033536413,92,99,36.71,362,23,894,63
1761033536433,78,98,36.93,424,897,16,73
1761033536453,62,98,36.56,336,579,444,76
1761033536472,96,98,36.4,205,51,693,75
1761033536493,95,99,36.5,890,245,235,71
1761033536513,95,98,36.45,41,811,857,98
1761033536533,78,100,37.19,272,339,278,67
1761033536553,78,96,36.25,526,207,982,83
1761033536574,83,95,36.39,614,150,833,70
1761033536593,76,99,36.19,263,776,791,62
1761033536613,82,99,37,416,375,216,87
1761033536633,94,95,36.73,581,665,245,88
1761033536652,73,98,36.74,308,950,651,66
1761033536672,74,96,36.52,292,381,607,95
1761033536693,70,97,36.32,984,992,719,98
1761033536713,64,99,36.71,994,254,916,78
1761033536733,97,99,36.57,882,760,683,51
1761033536754,70,100,37.14,57,470,969,62
1761033536773,73,97,36.69,953,723,291,90
1761033536793,90,96,37.12,79,138,774,99
1761033536813,70,96,37.15,603,126,896,92
1761033536833,66,96,37.03,730,867,843,63
1761033536853,72,96,36.44,36,846,377,60
1761033536873,78,95,36.41,909,190,749,75
1761033536894,85,100,36.52,917,35,761,58
1761033536913,73,100,36.22,385,992,717,57
1761033536933,88,98,36.86,767,555,427,62
1761033536953,99,96,36.53,691,331,224,64
1761033536973,88,99,36.61,983,168,246,96
1761033536993,89,99,36.85,450,235,249,86
1761033537013,81,98,36.69,999,308,829,96
1761033537033,72,99,36.6,105,183,215,86
1761033537053,82,97,36.49,695,568,12,59
1761033537073,72,96,36.61,659,193,102,74
1761033537094,79,96,36.37,277,903,214,50
1761033537112,69,96,36.44,391,820,56,63
1761033537133,93,95,36.11,484,384,124,97
1761033537153,86,96,37.05,944,720,907,87
1761033537173,62,95,37.1,583,622,461,95
1761033537193,98,98,36.23,477,726,463,60
1761033537213,69,100,36.99,963,318,767,99
1761033537233,70,99,36.22,784,899,776,61
1761033537253,92,99,36.76,688,681,72,100
1761033537273,92,99,36.02,32,943,786,76
1761033537293,63,99,36.9,466,748,528,95
1761033537313,74,100,36.22,438,596,286,88
1761033537333,64,97,36.77,661,621,45,97
1761033537353,93,98,37.04,133,587,713,77
1761033537373,64,96,36.4,928,391,804,52
1761033537393,84,100,36.68,237,636,124,90
1761033537413,81,99,37.15,619,936,724,93
1761033537433,86,97,36.49,470,61,227,98
1761033537453,99,98,36.69,987,895,162,89
1761033537472,69,99,36.27,724,59,406,78
1761033537493,89,98,36.63,92,481,94,81
1761033537513,71,100,36.4,602,714,921,57
1761033537533,90,98,36.67,779,2,687,76
1761033537554,91,98,36.37,940,697,761,70
1761033537572,97,99,36.88,79,401,742,59
1761033537593,94,96,36.27,43,142,298,55
1761033537613,72,97,37.12,196,525,276,73
1761033537634,84,100,36.9,563,797,313,63
1761033537654,61,96,37.02,984,442,814,88
1761033537673,97,97,36.35,66,259,647,96
