cnt,ir,red,green,hr,spo2,temp,battery
12681,154657,127934,21205,0,0,0,0
12701,154420,127794,21168,0,0,0,0
12721,154577,127899,21196,0,0,0,0
12741,154537,127868,21192,0,0,0,0
12772,154540,127867,21179,98,73,0,0
12781,154551,127876,21205,0,0,0,0
12801,154531,127877,21177,0,0,0,0
12821,154544,127887,21187,0,0,0,0
12841,154545,127871,21182,0,0,0,0
12861,154531,127879,21181,0,0,0,0
12881,154553,127892,21196,0,0,0,0
12901,154534,127885,21180,0,0,0,0
12921,154553,127892,21186,0,0,0,0
12941,154526,127862,21183,0,0,0,0
12961,154524,127879,21181,0,0,0,0
12981,154561,127899,21190,0,0,0,0
13001,154529,127869,21181,0,0,0,0
13021,154558,127895,21195,0,0,0,0
13041,154532,127887,21197,0,0,0,0
13061,154539,127891,21180,0,0,0,0
13081,154534,127881,21200,0,0,0,0
13101,154547,127935,21190,0,0,0,0
13121,154502,127829,21179,0,0,0,0
13141,154588,127890,21204,0,0,0,0
13161,153919,127393,21114,0,0,0,0
13181,154983,128223,21234,0,0,0,0
13201,154393,127634,21197,0,0,0,0
13221,154426,127850,21151,0,0,0,0
13241,154806,128044,21241,0,0,0,0
13261,154015,127568,21113,0,0,0,0
13281,154938,128172,21250,0,0,0,0
13301,154151,127595,21175,0,0,0,0
13321,154711,128037,21228,0,0,0,0
13341,154378,127752,21227,0,0,0,0
13361,154525,127864,21184,0,0,0,0
13381,154420,127828,21141,0,0,0,0
13401,154624,127919,21164,0,0,0,0
13421,154401,127789,21174,0,0,0,0
13441,154638,127949,21196,0,0,0,0
13461,154391,127767,21170,0,0,0,0
13481,154609,127937,21193,0,0,0,0
13501,154440,127815,21164,0,0,0,0
13521,154551,127885,21202,0,0,0,0
13541,154492,127849,21186,0,0,0,0
13561,154501,127856,21174,0,0,0,0
13581,154518,127866,21201,0,0,0,0
13601,154490,127842,21177,0,0,0,0
13621,154531,127872,21198,0,0,0,0
13641,154440,127823,21175,0,0,0,0
13661,154568,127886,21172,0,0,0,0
13681,154475,127833,21173,0,0,0,0
13701,154501,127875,21172,0,0,0,0
13721,154522,127843,21191,0,0,0,0
13741,154426,127832,21165,0,0,0,0
13761,154523,127860,21182,0,0,0,0
13781,154404,127794,21181,0,0,0,0
13801,154567,127912,21187,0,0,0,0
13821,154429,127790,21186,0,0,0,0
13841,154548,127898,21184,0,0,0,0
13861,154441,127805,21183,0,0,0,0
13881,154498,127847,21189,0,0,0,0
13901,154504,127854,21187,0,0,0,0
13921,154437,127804,21174,0,0,0,0
13941,154524,127878,21196,0,0,0,0
13961,154455,127822,21180,0,0,0,0
13981,154493,127839,21194,0,0,0,0
14001,154465,127836,21183,0,0,0,0
14021,154455,127809,21174,0,0,0,0
14041,154489,127866,21182,0,0,0,0
14061,154453,127839,21165,0,0,0,0
14081,154487,127837,21190,0,0,0,0
14101,154375,127762,21172,0,0,0,0
